Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
penicillin-binding transpeptidase domain-containing protein [Rossellomorea vietnamensis],Rossellomorea vietnamensis,54.3,54.3,97%,1e-06,31.58,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_034764484.1?report=genbank&log$=prottop&blast_rank=20&RID=UKXTVWSU016"",""WP_034764484.1"")"
penicillin-binding protein PBP4(5) [Vagococcus xieshaowenii],Vagococcus xieshaowenii,53.9,53.9,100%,1e-06,34.07,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_135253355.1?report=genbank&log$=prottop&blast_rank=21&RID=UKXTVWSU016"",""WP_135253355.1"")"
penicillin-binding transpeptidase domain-containing protein [[Clostridium] hylemonae],[Clostridium] hylemonae,53.9,53.9,82%,1e-06,32.43,701,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_244331005.1?report=genbank&log$=prottop&blast_rank=22&RID=UKXTVWSU016"",""WP_244331005.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus bingmayongensis],Bacillus bingmayongensis,53.5,53.5,98%,2e-06,32.61,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_017149727.1?report=genbank&log$=prottop&blast_rank=23&RID=UKXTVWSU016"",""WP_017149727.1"")"
penicillin-binding transpeptidase domain-containing protein [Luxibacter massiliensis],Luxibacter massiliensis,53.5,53.5,96%,2e-06,34.09,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122641894.1?report=genbank&log$=prottop&blast_rank=24&RID=UKXTVWSU016"",""WP_122641894.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,53.1,53.1,97%,2e-06,32.97,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001227261.1?report=genbank&log$=prottop&blast_rank=25&RID=UKXTVWSU016"",""WP_001227261.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,53.1,53.1,97%,2e-06,32.97,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_426933701.1?report=genbank&log$=prottop&blast_rank=26&RID=UKXTVWSU016"",""WP_426933701.1"")"
penicillin-binding protein 3 [Bacillus nitratireducens],Bacillus nitratireducens,53.1,53.1,97%,2e-06,32.97,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090813239.1?report=genbank&log$=prottop&blast_rank=27&RID=UKXTVWSU016"",""WP_090813239.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,53.1,53.1,97%,3e-06,32.97,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001227207.1?report=genbank&log$=prottop&blast_rank=28&RID=UKXTVWSU016"",""WP_001227207.1"")"
penicillin-binding transpeptidase domain-containing protein [Clostridium carnis],Clostridium carnis,52.8,52.8,97%,3e-06,30.68,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_459834643.1?report=genbank&log$=prottop&blast_rank=29&RID=UKXTVWSU016"",""WP_459834643.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus cereus group],Bacillus cereus group,52.8,52.8,97%,3e-06,32.97,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071724055.1?report=genbank&log$=prottop&blast_rank=30&RID=UKXTVWSU016"",""WP_071724055.1"")"
penicillin-binding transpeptidase domain-containing protein [Luoshenia tenuis],Luoshenia tenuis,52.8,52.8,79%,3e-06,27.03,690,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_249284633.1?report=genbank&log$=prottop&blast_rank=31&RID=UKXTVWSU016"",""WP_249284633.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus cereus group],Bacillus cereus group,52.8,52.8,97%,3e-06,31.87,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012094126.1?report=genbank&log$=prottop&blast_rank=32&RID=UKXTVWSU016"",""WP_012094126.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus toyonensis],Bacillus toyonensis,52.4,52.4,90%,4e-06,35.71,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_200204114.1?report=genbank&log$=prottop&blast_rank=33&RID=UKXTVWSU016"",""WP_200204114.1"")"
penicillin-binding transpeptidase domain-containing protein [Metabacillus endolithicus],Metabacillus endolithicus,52.4,52.4,66%,4e-06,40.00,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_247343105.1?report=genbank&log$=prottop&blast_rank=34&RID=UKXTVWSU016"",""WP_247343105.1"")"
penicillin-binding protein PBP4(5) [Vagococcus zengguangii],Vagococcus zengguangii,52.4,52.4,100%,4e-06,34.07,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136953484.1?report=genbank&log$=prottop&blast_rank=35&RID=UKXTVWSU016"",""WP_136953484.1"")"
penicillin-binding protein PBP4(5) [Cytobacillus solani],Cytobacillus solani,52.0,52.0,66%,5e-06,42.19,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_142108649.1?report=genbank&log$=prottop&blast_rank=36&RID=UKXTVWSU016"",""WP_142108649.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus cereus group],Bacillus cereus group,52.0,52.0,96%,6e-06,34.44,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_062821109.1?report=genbank&log$=prottop&blast_rank=37&RID=UKXTVWSU016"",""WP_062821109.1"")"
penicillin-binding protein 3 [Bacillus luti],Bacillus luti,51.6,51.6,97%,8e-06,32.97,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_156575863.1?report=genbank&log$=prottop&blast_rank=38&RID=UKXTVWSU016"",""WP_156575863.1"")"
MULTISPECIES: penicillin-binding protein PBP4(5) [Paenibacillus],Paenibacillus,51.6,51.6,94%,9e-06,29.07,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_379288882.1?report=genbank&log$=prottop&blast_rank=39&RID=UKXTVWSU016"",""WP_379288882.1"")"
penicillin-binding transpeptidase domain-containing protein [Clostridium celatum],Clostridium celatum,51.2,51.2,51%,1e-05,47.83,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234088846.1?report=genbank&log$=prottop&blast_rank=40&RID=UKXTVWSU016"",""WP_234088846.1"")"
penicillin-binding transpeptidase domain-containing protein [Rossellomorea arthrocnemi],Rossellomorea arthrocnemi,51.2,51.2,97%,1e-05,29.47,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_201715957.1?report=genbank&log$=prottop&blast_rank=41&RID=UKXTVWSU016"",""WP_201715957.1"")"
penicillin-binding transpeptidase domain-containing protein [Metabacillus halosaccharovorans],Metabacillus halosaccharovorans,50.8,50.8,82%,2e-05,34.52,668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078433607.1?report=genbank&log$=prottop&blast_rank=42&RID=UKXTVWSU016"",""WP_078433607.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,50.4,50.4,96%,2e-05,33.33,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_033692038.1?report=genbank&log$=prottop&blast_rank=43&RID=UKXTVWSU016"",""WP_033692038.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,50.4,50.4,96%,2e-05,33.33,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001227239.1?report=genbank&log$=prottop&blast_rank=44&RID=UKXTVWSU016"",""WP_001227239.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,50.4,50.4,96%,2e-05,33.33,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001227250.1?report=genbank&log$=prottop&blast_rank=45&RID=UKXTVWSU016"",""WP_001227250.1"")"
penicillin-binding protein 3 [Bacillus toyonensis],Bacillus toyonensis,50.4,50.4,96%,2e-05,33.33,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_200204005.1?report=genbank&log$=prottop&blast_rank=46&RID=UKXTVWSU016"",""WP_200204005.1"")"
penicillin-binding transpeptidase domain-containing protein [Paenibacillus vulneris],Paenibacillus vulneris,50.4,50.4,92%,2e-05,31.03,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_345592748.1?report=genbank&log$=prottop&blast_rank=47&RID=UKXTVWSU016"",""WP_345592748.1"")"
penicillin-binding protein 3 [Bacillus altaicus],Bacillus altaicus,50.4,50.4,96%,2e-05,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_375369304.1?report=genbank&log$=prottop&blast_rank=48&RID=UKXTVWSU016"",""WP_375369304.1"")"
MULTISPECIES: penicillin-binding protein PBP4(5) [Listeria],Listeria,50.4,50.4,98%,2e-05,30.77,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_088810202.1?report=genbank&log$=prottop&blast_rank=49&RID=UKXTVWSU016"",""WP_088810202.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus altaicus],Bacillus altaicus,50.4,50.4,90%,2e-05,33.33,657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_375369156.1?report=genbank&log$=prottop&blast_rank=50&RID=UKXTVWSU016"",""WP_375369156.1"")"
penicillin-binding transpeptidase domain-containing protein [Rossellomorea yichunensis],Rossellomorea yichunensis,50.4,50.4,97%,2e-05,30.53,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_315635167.1?report=genbank&log$=prottop&blast_rank=51&RID=UKXTVWSU016"",""WP_315635167.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,50.4,50.4,96%,2e-05,33.33,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242251828.1?report=genbank&log$=prottop&blast_rank=52&RID=UKXTVWSU016"",""WP_242251828.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,50.1,50.1,96%,3e-05,33.33,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071758142.1?report=genbank&log$=prottop&blast_rank=53&RID=UKXTVWSU016"",""WP_071758142.1"")"
penicillin-binding protein PBP4(5) [Paenibacillus nuruki],Paenibacillus nuruki,50.1,50.1,96%,3e-05,28.26,683,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_308640946.1?report=genbank&log$=prottop&blast_rank=54&RID=UKXTVWSU016"",""WP_308640946.1"")"
penicillin-binding protein 3 [Bacillus proteolyticus],Bacillus proteolyticus,50.1,50.1,96%,3e-05,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071745205.1?report=genbank&log$=prottop&blast_rank=55&RID=UKXTVWSU016"",""WP_071745205.1"")"
penicillin-binding transpeptidase domain-containing protein [Lederbergia wuyishanensis],Lederbergia wuyishanensis,50.1,50.1,98%,3e-05,31.58,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_244683354.1?report=genbank&log$=prottop&blast_rank=56&RID=UKXTVWSU016"",""WP_244683354.1"")"
penicillin-binding transpeptidase domain-containing protein [Brevibacillus borstelensis],Brevibacillus borstelensis,50.1,50.1,97%,3e-05,29.03,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_409240976.1?report=genbank&log$=prottop&blast_rank=57&RID=UKXTVWSU016"",""WP_409240976.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus paramobilis],Bacillus paramobilis,50.1,50.1,90%,3e-05,34.52,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_341517810.1?report=genbank&log$=prottop&blast_rank=58&RID=UKXTVWSU016"",""WP_341517810.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus mycoides],Bacillus mycoides,50.1,50.1,96%,3e-05,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_215552381.1?report=genbank&log$=prottop&blast_rank=59&RID=UKXTVWSU016"",""WP_215552381.1"")"
penicillin-binding transpeptidase domain-containing protein [Cytobacillus horneckiae],Cytobacillus horneckiae,50.1,50.1,96%,3e-05,34.48,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066200041.1?report=genbank&log$=prottop&blast_rank=60&RID=UKXTVWSU016"",""WP_066200041.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus mycoides],Bacillus mycoides,50.1,50.1,90%,3e-05,33.33,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_215552293.1?report=genbank&log$=prottop&blast_rank=61&RID=UKXTVWSU016"",""WP_215552293.1"")"
penicillin-binding transpeptidase domain-containing protein [Metabacillus niabensis],Metabacillus niabensis,49.7,49.7,48%,3e-05,46.51,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_217451418.1?report=genbank&log$=prottop&blast_rank=62&RID=UKXTVWSU016"",""WP_217451418.1"")"
penicillin-binding protein PBP4(5) [Siminovitchia fortis],Siminovitchia fortis,49.7,49.7,87%,4e-05,34.15,678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144462744.1?report=genbank&log$=prottop&blast_rank=63&RID=UKXTVWSU016"",""WP_144462744.1"")"
penicillin-binding transpeptidase domain-containing protein [Domibacillus mangrovi],Domibacillus mangrovi,49.7,49.7,86%,4e-05,29.63,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073711915.1?report=genbank&log$=prottop&blast_rank=64&RID=UKXTVWSU016"",""WP_073711915.1"")"
penicillin-binding transpeptidase domain-containing protein [Cohnella xylanilytica],Cohnella xylanilytica,49.3,49.3,46%,5e-05,41.46,696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_185138278.1?report=genbank&log$=prottop&blast_rank=65&RID=UKXTVWSU016"",""WP_185138278.1"")"
penicillin-binding transpeptidase domain-containing protein [Domibacillus aminovorans],Domibacillus aminovorans,48.9,48.9,96%,8e-05,28.57,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063966764.1?report=genbank&log$=prottop&blast_rank=66&RID=UKXTVWSU016"",""WP_063966764.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,48.9,48.9,96%,8e-05,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001227226.1?report=genbank&log$=prottop&blast_rank=67&RID=UKXTVWSU016"",""WP_001227226.1"")"
penicillin-binding protein PBP4(5) [Cytobacillus praedii],Cytobacillus praedii,48.5,48.5,64%,9e-05,38.10,677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_057768320.1?report=genbank&log$=prottop&blast_rank=68&RID=UKXTVWSU016"",""WP_057768320.1"")"
penicillin-binding protein 3 [Bacillus hominis],Bacillus hominis,48.5,48.5,96%,9e-05,31.11,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_289359027.1?report=genbank&log$=prottop&blast_rank=69&RID=UKXTVWSU016"",""WP_289359027.1"")"
penicillin-binding transpeptidase domain-containing protein [Sporosarcina trichiuri],Sporosarcina trichiuri,48.5,48.5,93%,9e-05,29.00,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_290149688.1?report=genbank&log$=prottop&blast_rank=70&RID=UKXTVWSU016"",""WP_290149688.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus cereus group],Bacillus cereus group,48.5,48.5,78%,1e-04,34.29,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071745946.1?report=genbank&log$=prottop&blast_rank=71&RID=UKXTVWSU016"",""WP_071745946.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus],Bacillus,48.5,48.5,90%,1e-04,34.52,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_242264623.1?report=genbank&log$=prottop&blast_rank=72&RID=UKXTVWSU016"",""WP_242264623.1"")"
MULTISPECIES: penicillin-binding protein 3 [Bacillus],Bacillus,48.5,48.5,96%,1e-04,31.11,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001227211.1?report=genbank&log$=prottop&blast_rank=73&RID=UKXTVWSU016"",""WP_001227211.1"")"
penicillin-binding protein 3 [Bacillus paramycoides],Bacillus paramycoides,48.5,48.5,96%,1e-04,31.11,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_071719955.1?report=genbank&log$=prottop&blast_rank=74&RID=UKXTVWSU016"",""WP_071719955.1"")"
MULTISPECIES: penicillin-binding transpeptidase domain-containing protein [Bacillus],Bacillus,48.5,48.5,96%,1e-04,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_212956540.1?report=genbank&log$=prottop&blast_rank=75&RID=UKXTVWSU016"",""WP_212956540.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus fungorum],Bacillus fungorum,48.5,48.5,90%,1e-04,32.14,655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099685428.1?report=genbank&log$=prottop&blast_rank=76&RID=UKXTVWSU016"",""WP_099685428.1"")"
penicillin-binding protein 3 [Bacillus paramobilis],Bacillus paramobilis,48.5,48.5,96%,1e-04,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_341517925.1?report=genbank&log$=prottop&blast_rank=77&RID=UKXTVWSU016"",""WP_341517925.1"")"
penicillin-binding transpeptidase domain-containing protein [Ectobacillus polymachus],Ectobacillus polymachus,48.1,48.1,86%,1e-04,36.59,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_416825407.1?report=genbank&log$=prottop&blast_rank=78&RID=UKXTVWSU016"",""WP_416825407.1"")"
penicillin-binding protein 3 [Bacillus fungorum],Bacillus fungorum,48.1,48.1,96%,1e-04,32.22,661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099686189.1?report=genbank&log$=prottop&blast_rank=79&RID=UKXTVWSU016"",""WP_099686189.1"")"
penicillin-binding transpeptidase domain-containing protein [Lederbergia citrisecunda],Lederbergia citrisecunda,48.1,48.1,96%,1e-04,30.85,667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_213112433.1?report=genbank&log$=prottop&blast_rank=80&RID=UKXTVWSU016"",""WP_213112433.1"")"
penicillin-binding transpeptidase domain-containing protein [Metabacillus kandeliae],Metabacillus kandeliae,47.8,47.8,77%,2e-04,32.00,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_231789894.1?report=genbank&log$=prottop&blast_rank=81&RID=UKXTVWSU016"",""WP_231789894.1"")"
NTF2-like N-terminal transpeptidase domain-containing protein [Tigheibacillus jepli],Tigheibacillus jepli,47.4,47.4,97%,2e-04,29.21,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_320384312.1?report=genbank&log$=prottop&blast_rank=82&RID=UKXTVWSU016"",""WP_320384312.1"")"
penicillin-binding transpeptidase domain-containing protein [Bacillus wiedmannii],Bacillus wiedmannii,47.8,47.8,90%,2e-04,32.14,656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_151035427.1?report=genbank&log$=prottop&blast_rank=83&RID=UKXTVWSU016"",""WP_151035427.1"")"
penicillin-binding transpeptidase domain-containing protein [Pallidibacillus thermolactis],Pallidibacillus thermolactis,47.8,47.8,40%,2e-04,50.00,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173661857.1?report=genbank&log$=prottop&blast_rank=84&RID=UKXTVWSU016"",""WP_173661857.1"")"
penicillin-binding transpeptidase domain-containing protein [Kocuria gwangalliensis],Kocuria gwangalliensis,47.8,47.8,51%,2e-04,36.96,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_345311156.1?report=genbank&log$=prottop&blast_rank=85&RID=UKXTVWSU016"",""WP_345311156.1"")"
penicillin-binding transpeptidase domain-containing protein [Domibacillus antri],Domibacillus antri,47.8,47.8,96%,2e-04,30.77,663,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075396883.1?report=genbank&log$=prottop&blast_rank=86&RID=UKXTVWSU016"",""WP_075396883.1"")"
penicillin-binding transpeptidase domain-containing protein [Neobacillus thermocopriae],Neobacillus thermocopriae,47.8,47.8,96%,2e-04,30.21,665,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_338036745.1?report=genbank&log$=prottop&blast_rank=87&RID=UKXTVWSU016"",""WP_338036745.1"")"
penicillin-binding transpeptidase domain-containing protein [Halalkalibacterium halodurans],Halalkalibacterium halodurans,47.4,47.4,74%,2e-04,29.17,672,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_053430379.1?report=genbank&log$=prottop&blast_rank=88&RID=UKXTVWSU016"",""WP_053430379.1"")"
penicillin-binding transpeptidase domain-containing protein [Salinicoccus sediminis],Salinicoccus sediminis,47.4,47.4,76%,2e-04,35.71,666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_046517929.1?report=genbank&log$=prottop&blast_rank=89&RID=UKXTVWSU016"",""WP_046517929.1"")"
